in s,C1 in V,C2 in V
-1.16136E-01,6.854258E+00,8.380039E+00
-1.16112E-01,6.717539E+00,8.087070E+00
-1.16112E-01,6.864023E+00,8.380039E+00
-1.16088E-01,6.717539E+00,8.087070E+00
-1.16088E-01,6.864023E+00,8.438633E+00
-1.16064E-01,6.717539E+00,8.135898E+00
-1.16064E-01,6.854258E+00,8.438633E+00
-1.16040E-01,6.717539E+00,8.174961E+00
-1.16040E-01,6.854258E+00,8.438633E+00
-1.16016E-01,6.717539E+00,8.204258E+00
-1.16016E-01,6.854258E+00,8.438633E+00
-1.15992E-01,6.707773E+00,8.204258E+00
-1.15992E-01,6.854258E+00,8.575352E+00
-1.15968E-01,6.707773E+00,8.292148E+00
-1.15968E-01,6.864023E+00,8.633945E+00
-1.15944E-01,6.698008E+00,8.389805E+00
-1.15944E-01,6.864023E+00,8.731602E+00
-1.15920E-01,6.698008E+00,8.389805E+00
-1.15920E-01,6.873789E+00,8.731602E+00
-1.15896E-01,6.707773E+00,8.467930E+00
-1.15896E-01,6.873789E+00,8.721836E+00
-1.15872E-01,6.698008E+00,8.487461E+00
-1.15872E-01,6.873789E+00,8.809727E+00
-1.15848E-01,6.698008E+00,8.497227E+00
-1.15848E-01,6.873789E+00,8.829258E+00
-1.15824E-01,6.698008E+00,8.380039E+00
-1.15824E-01,6.873789E+00,8.829258E+00
-1.15800E-01,6.698008E+00,8.380039E+00
-1.15800E-01,6.864023E+00,8.917148E+00
-1.15776E-01,6.698008E+00,8.448398E+00
-1.15776E-01,6.873789E+00,8.917148E+00
-1.15752E-01,6.678477E+00,8.467930E+00
-1.15752E-01,6.873789E+00,8.946445E+00
-1.15728E-01,6.678477E+00,8.350742E+00
-1.15728E-01,6.893320E+00,8.946445E+00
-1.15704E-01,6.678477E+00,8.272617E+00
-1.15704E-01,6.893320E+00,8.741367E+00
-1.15680E-01,6.678477E+00,8.272617E+00
-1.15680E-01,6.883555E+00,8.653477E+00
-1.15656E-01,6.678477E+00,8.389805E+00
-1.15656E-01,6.883555E+00,8.731602E+00
-1.15632E-01,6.678477E+00,8.380039E+00
-1.15632E-01,6.883555E+00,8.731602E+00
-1.15608E-01,6.688242E+00,8.380039E+00
-1.15608E-01,6.864023E+00,8.643711E+00
-1.15584E-01,6.688242E+00,8.331211E+00
-1.15584E-01,6.873789E+00,8.682773E+00
-1.15560E-01,6.688242E+00,8.272617E+00
-1.15560E-01,6.873789E+00,8.682773E+00
-1.15536E-01,6.668711E+00,8.272617E+00
-1.15536E-01,6.893320E+00,8.585117E+00
-1.15512E-01,6.668711E+00,8.350742E+00
-1.15512E-01,6.893320E+00,8.585117E+00
-1.15488E-01,6.678477E+00,8.380039E+00
-1.15488E-01,6.864023E+00,8.575352E+00
-1.15464E-01,6.658945E+00,8.389805E+00
-1.15464E-01,6.873789E+00,8.575352E+00
-1.15440E-01,6.658945E+00,8.389805E+00
-1.15440E-01,6.873789E+00,8.575352E+00
-1.15416E-01,6.678477E+00,8.389805E+00
-1.15416E-01,6.873789E+00,8.555820E+00
-1.15392E-01,6.678477E+00,8.389805E+00
-1.15392E-01,6.873789E+00,8.555820E+00
-1.15368E-01,6.678477E+00,8.399570E+00
-1.15368E-01,6.864023E+00,8.565586E+00
-1.15344E-01,6.678477E+00,8.399570E+00
-1.15344E-01,6.864023E+00,8.575352E+00
-1.15320E-01,6.678477E+00,8.419102E+00
-1.15320E-01,6.864023E+00,8.575352E+00
-1.15296E-01,6.678477E+00,8.419102E+00
-1.15296E-01,6.854258E+00,8.585117E+00
-1.15272E-01,6.678477E+00,8.419102E+00
-1.15272E-01,6.854258E+00,8.614414E+00
-1.15248E-01,6.668711E+00,8.448398E+00
-1.15248E-01,6.854258E+00,8.614414E+00
-1.15224E-01,6.668711E+00,8.448398E+00
-1.15224E-01,6.844492E+00,8.624180E+00
-1.15200E-01,6.678477E+00,8.458164E+00
-1.15200E-01,6.844492E+00,8.633945E+00
-1.15176E-01,6.678477E+00,8.458164E+00
-1.15176E-01,6.864023E+00,8.643711E+00
-1.15152E-01,6.649180E+00,8.458164E+00
-1.15152E-01,6.864023E+00,8.643711E+00
-1.15128E-01,6.649180E+00,8.467930E+00
-1.15128E-01,6.844492E+00,8.643711E+00
-1.15104E-01,6.688242E+00,8.487461E+00
-1.15104E-01,6.844492E+00,8.663242E+00
-1.15080E-01,6.678477E+00,8.487461E+00
-1.15080E-01,6.854258E+00,8.673008E+00
-1.15056E-01,6.678477E+00,8.506992E+00
-1.15056E-01,6.854258E+00,8.682773E+00
-1.15032E-01,6.668711E+00,8.506992E+00
-1.15032E-01,6.834727E+00,8.692539E+00
-1.15008E-01,6.668711E+00,8.516758E+00
-1.15008E-01,6.864023E+00,8.692539E+00
-1.14984E-01,6.668711E+00,8.516758E+00
-1.14984E-01,6.864023E+00,8.692539E+00
-1.14960E-01,6.668711E+00,8.526523E+00
-1.14960E-01,6.844492E+00,8.712070E+00
-1.14936E-01,6.668711E+00,8.536289E+00
-1.14936E-01,6.854258E+00,8.731602E+00
