in s,C1 in V
-5.5207860E-01,5.68945E+00
-5.5206936E-01,5.76758E+00
-5.5206012E-01,5.68945E+00
-5.5205088E-01,5.72852E+00
-5.5204164E-01,5.70898E+00
-5.5203240E-01,5.63086E+00
-5.5202316E-01,5.76758E+00
-5.5201392E-01,5.68945E+00
-5.5200468E-01,5.76758E+00
-5.5199544E-01,5.68945E+00
-5.5198620E-01,5.70898E+00
-5.5197696E-01,5.68945E+00
-5.5196772E-01,5.70898E+00
-5.5195848E-01,5.65039E+00
-5.5194924E-01,5.76758E+00
-5.5194000E-01,5.70898E+00
-5.5193076E-01,5.70898E+00
-5.5192152E-01,5.65039E+00
-5.5191228E-01,5.70898E+00
-5.5190304E-01,5.68945E+00
-5.5189380E-01,5.74805E+00
-5.5188456E-01,5.70898E+00
-5.5187532E-01,5.70898E+00
-5.5186608E-01,5.66992E+00
-5.5185684E-01,5.70898E+00
-5.5184760E-01,5.68945E+00
-5.5183836E-01,5.72852E+00
-5.5182912E-01,5.65039E+00
-5.5181988E-01,5.70898E+00
